[INFO] [474.290] - Start new burst interval
[INFO] [474.290] - IMU file name: /home/pi/microSWIFT/data/006_Imu_21Sep2020_13:00:00UTC_burst_12.dat
[INFO] [474.290] - IMU ON
[INFO] [548.616] - Num of samples: 266, Wanted samples: 2048
[INFO] [548.888] - Num of samples: 267, Wanted samples: 2048
[INFO] [549.168] - Num of samples: 268, Wanted samples: 2048
[INFO] [549.460] - Num of samples: 269, Wanted samples: 2048
[INFO] [549.743] - Num of samples: 270, Wanted samples: 2048
[INFO] [550.035] - Num of samples: 271, Wanted samples: 2048
[INFO] [550.318] - Num of samples: 272, Wanted samples: 2048
[INFO] [550.605] - Num of samples: 273, Wanted samples: 2048
[INFO] [550.870] - Num of samples: 274, Wanted samples: 2048
[INFO] [551.135] - Num of samples: 275, Wanted samples: 2048
[INFO] [551.400] - Num of samples: 276, Wanted samples: 2048
[INFO] [551.665] - Num of samples: 277, Wanted samples: 2048
[INFO] [551.929] - Num of samples: 278, Wanted samples: 2048
[INFO] [552.224] - Num of samples: 279, Wanted samples: 2048
[INFO] [552.509] - Num of samples: 280, Wanted samples: 2048
[INFO] [552.805] - Num of samples: 281, Wanted samples: 2048
[INFO] [553.075] - Num of samples: 282, Wanted samples: 2048
[INFO] [553.339] - Num of samples: 283, Wanted samples: 2048
[INFO] [553.604] - Num of samples: 284, Wanted samples: 2048
[INFO] [553.908] - Num of samples: 285, Wanted samples: 2048
[INFO] [554.195] - Num of samples: 286, Wanted samples: 2048
[INFO] [554.495] - Num of samples: 287, Wanted samples: 2048
[INFO] [554.775] - Num of samples: 288, Wanted samples: 2048
[INFO] [555.047] - Num of samples: 289, Wanted samples: 2048
[INFO] [555.325] - Num of samples: 290, Wanted samples: 2048
[INFO] [555.595] - Num of samples: 291, Wanted samples: 2048
[INFO] [555.860] - Num of samples: 292, Wanted samples: 2048
[INFO] [556.132] - Num of samples: 293, Wanted samples: 2048
[INFO] [556.411] - Num of samples: 294, Wanted samples: 2048
[INFO] [556.676] - Num of samples: 295, Wanted samples: 2048
[INFO] [556.975] - Num of samples: 296, Wanted samples: 2048
[INFO] [557.245] - Num of samples: 297, Wanted samples: 2048
[INFO] [557.525] - Num of samples: 298, Wanted samples: 2048
